Blog	small	almost	yet	remember	course	wanted	whole	ready	soon	morning	making	change	doesn	maybe	someone	open	free	coming	anything	finally	believe	myself	ago	able	far	makes	yes	job	person	call	tell	decided	show	must	sometimes	couple	kind	name	wasn	set	pretty	stop	weeks	seems	asked	along	kids	story	high	run	months	heart	given	knew	become	short	food	saw	experience	close	live	real	else	used	idea	between	watch	less	told	girl	pictures	play	won	wait	city	seen	bad	probably	nice	reading	fact	true	quite	summer	early	group	words	book	month	however	ask	head	leave	wonderful	talk	thinking	children	wrong	special	team	com	excited	rest	guess	outside	easy	often	loved	water	hand	under	visit	picture	felt	god	means	car	enjoy	side	write	mom	thanks	lost	stay	weekend	turn	gone	line	moment	several	hear	oh	move	mean	favorite	running	others	amp	gave	goes	beautiful	comes	isn	spent	christmas	young	face	check	watching	walk	share	needed	parents	rather	future	half	sunday	late	talking	care	bring	taken	anyone	money	important	top	order	living	perfect	dinner	number	behind	looked	reason	playing	taking	although	mother	instead	couldn	above	thank	please	birthday	baby	problem	father	news	fall	minutes	heard	either	break	feeling	meet	across	friday	matter	spend	fast	son	drive	takes	eat	seem	single	gets	brought	tried	music	turned	lives	possible	forward	looks	eyes	happened	busy	haven	miss	road	yesterday	lots	learn	huge	stuff	using	amazing	interesting	hour	saturday	sense	cold	understand	giving	table	four	st	step	knows	light	trip	return	guy	men	case	local	near	project	happen	simply	hold	yourself	area	especially	dad	says	needs	hit	books	john	list	plan	form	question	students	red	recently	worked	inside	continue	usually	hands	opportunity	simple	class	whether	power	age	chance	whatever	longer	white	women	following	video	party	http	met	entire	self	funny	kept	moved	bed	cute	b	wish	cannot	against	park	quickly	known	certain	etc	view	waiting	ones	service	saying	wants	lunch	store	questions	child	date	pick	anyway	www	grow	pain	works	gift	example	support	public	including	cool	feet	five	final	main	writing	moving	research	worth	similar	e	proud	sweet	fear	perhaps	green	strong	crazy	due	country	large	church	game	based	wouldn	below	upon	event	x	front	exactly	fine	body	sleep	ran	season	lead	minute	ground	pass	company	turns	poor	boy	tomorrow	state	wife	available	weather	sister	deal	husband	attention	girls	middle	themselves	woman	issues	air	truly	dream	issue	within	college	style	problems	present	slow	word	received	art	thoughts	super	normal	changed	ways	passed	places	third	filled	current	information	fire	link	stand	email	sun	mostly	finish	seeing	written	guys	black	town	except	program	tv	death	page	regular	finished	add	hot	song	human	beyond	facebook	answer	forget	loves	changes	travel	process	coffee	born	america	evening	missing	sitting	happens	blue	okay	community	moments	faith	himself	growing	field	blood	buy	follow	difficult	arrived	sort	awesome	held	street	website	walking	nearly	deep	sit	july	smile	movie	monday	clear	eating	mentioned	daily	further	asking	helped	phone	driving	quick	choice	november	door	ok	ended	non	learned	american	telling	key	sorry	afternoon	wonder	beginning	cut	figure	wrote
Waiting for Sophie	1	2	2	1	4	5	2	2	4	2	2	1	1	1	0	0	1	2	0	2	2	2	1	0	0	3	5	1	0	1	4	1	1	1	0	3	1	1	0	4	1	0	0	0	3	0	9	0	0	0	0	5	0	0	0	0	0	0	0	0	0	3	0	1	1	1	1	1	3	5	0	0	0	1	0	0	2	0	1	1	0	1	0	2	2	0	1	2	2	1	0	1	4	1	1	0	0	1	8	0	1	6	1	2	0	0	0	2	0	1	2	0	1	2	1	0	0	3	0	0	3	2	0	0	2	0	0	1	1	4	2	7	0	0	2	0	1	28	0	0	7	1	1	0	5	1	2	2	0	0	2	1	2	0	0	0	0	0	0	0	2	4	1	0	0	0	1	0	0	1	0	2	0	0	0	2	0	3	1	0	2	1	1	8	8	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	2	0	1	0	1	4	1	0	0	1	1	0	0	1	1	4	1	6	0	0	5	0	1	0	1	1	0	1	0	0	1	0	1	2	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	3	1	0	3	0	0	0	1	0	0	6	2	0	1	1	0	7	0	0	1	5	0	2	0	0	0	0	1	0	3	0	0	1	0	0	1	0	0	0	1	0	0	3	0	1	0	0	0	0	0	0	1	0	0	2	0	0	3	2	0	0	0	3	6	13	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	3	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	1	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	1	1	0	1	0	0	0	3	0	0	1	1	0	0	0	0	0	1	2	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0	6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	1
The Malans	0	4	1	2	3	3	3	2	1	4	0	0	2	3	0	2	0	1	2	2	1	4	2	1	1	1	1	1	2	0	2	0	1	0	1	2	1	0	4	1	3	0	2	1	1	1	3	0	2	5	0	0	1	3	0	0	4	0	0	2	0	0	2	1	0	0	1	1	5	1	8	1	0	2	2	0	1	3	2	0	0	1	0	3	1	0	1	0	5	0	0	1	0	2	0	0	1	0	1	0	2	9	2	3	6	0	0	0	0	1	0	0	7	1	0	2	1	0	1	0	3	2	0	1	0	0	4	0	0	0	0	0	0	0	0	1	0	0	2	1	1	1	0	0	10	0	0	0	1	0	2	0	1	0	1	7	2	2	0	0	0	1	0	1	2	1	0	0	1	0	0	1	1	0	1	1	0	2	1	4	0	0	0	9	2	0	4	0	0	0	1	1	1	0	0	0	0	0	1	3	0	0	0	3	0	0	4	2	0	0	5	3	0	2	0	0	1	2	2	1	2	2	1	0	0	0	0	3	1	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	6	0	0	0	0	1	0	0	0	0	0	9	0	0	0	0	0	1	0	0	6	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	1	0	1	1	2	1	0	0	0	0	1	4	0	0	0	0	1	0	1	0	0	5	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	1	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	3	0	0	1	0	1	0	2	1	0	0	0	0	0	0	2	2	2	2	1	0	1	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0	2	0	0
Collin Kelley: Modern Confessional	3	6	2	2	4	2	0	3	4	0	3	0	2	2	1	6	1	3	1	1	3	2	1	0	2	1	2	2	1	0	1	3	4	0	1	3	0	2	0	0	0	1	3	1	2	4	0	9	4	2	1	0	0	1	3	5	0	5	1	0	2	1	2	1	2	1	2	2	0	2	1	2	1	1	4	0	2	1	0	31	1	2	1	4	4	2	1	33	4	0	0	3	0	2	1	1	2	2	2	0	1	2	0	0	1	1	0	0	1	0	1	4	1	0	0	0	2	2	0	1	0	5	4	0	7	3	3	1	0	0	1	1	0	1	1	1	0	6	3	0	3	0	0	3	0	6	0	4	2	2	2	1	0	1	2	1	6	1	2	1	0	1	0	2	0	1	4	1	0	4	2	1	0	1	0	1	2	0	1	0	2	4	1	2	0	0	1	4	3	0	0	1	0	1	3	2	4	0	0	0	0	2	2	0	0	1	1	1	0	3	0	2	0	0	0	0	3	2	2	0	1	0	1	0	0	3	2	1	1	3	10	0	1	1	1	1	1	1	1	2	19	5	1	1	0	1	5	1	3	2	1	0	0	1	1	0	1	0	0	19	2	2	1	0	0	5	2	0	0	1	0	0	1	1	0	3	1	0	2	1	0	0	1	1	1	0	2	0	3	1	6	0	0	1	1	1	2	0	2	1	8	1	1	0	0	2	0	0	0	0	0	1	2	2	0	1	0	0	0	0	0	1	0	1	2	2	9	1	0	1	3	5	4	0	0	1	0	1	1	1	1	2	1	0	0	0	3	0	0	1	0	2	0	0	8	0	0	0	2	0	0	0	1	1	0	1	0	1	3	0	0	0	0	0	6	3	2	0	3	1	2	0	2	3	1	0	5	3	7	0	2	0	0	0	1	14	1	1	0	0	0	1	1	1	4	8	0	2	1	0	8	0	0	0	0	2	0	3	0	1	3	0	0	0	2	0	1	0	0	1	0	1	6	1	0	1	2	0	11	0	8	2	2	4	4	3	1	0	0	4	0	0	1	0	0	1	6	3	1	2	2	0	2	2	0	0	2	1	0	2	0	2	1	1	0	1	0	1	0	1	0	1	1	0	3	2	0	0	0	0	3	0	0	3	2	2	0	1	2	5
Becoming a Mommy	1	2	5	2	4	5	2	9	5	3	4	4	5	3	0	1	0	6	4	4	5	6	1	4	9	5	2	1	2	4	1	8	1	1	3	1	3	6	5	5	12	4	47	2	5	4	6	3	4	0	21	5	3	4	0	3	2	3	4	4	0	3	0	1	0	6	2	7	7	20	4	10	2	1	0	0	0	1	6	4	0	1	5	1	6	0	5	0	12	12	1	3	2	4	3	6	1	0	3	0	0	11	5	2	2	1	4	2	4	2	2	3	1	7	4	2	5	3	4	3	9	2	1	7	4	1	1	0	6	4	4	3	3	2	0	2	0	10	4	1	3	1	3	2	10	0	1	1	4	1	5	2	1	0	3	3	3	1	4	3	2	1	2	1	0	5	2	0	3	1	0	1	1	1	2	4	4	0	1	4	3	4	0	3	40	0	0	0	1	3	2	5	2	9	1	1	7	1	4	6	1	1	2	3	6	2	2	4	1	0	6	2	1	5	3	3	1	9	1	5	0	4	9	0	2	0	2	11	1	3	1	1	3	0	0	0	0	1	0	5	3	0	0	0	1	0	0	0	1	0	0	6	0	3	5	2	7	2	1	1	0	0	5	0	1	0	0	0	0	1	0	5	2	0	0	0	0	0	6	0	0	3	5	1	1	2	3	0	1	2	0	2	2	3	15	3	0	5	0	1	0	18	0	1	2	0	1	4	0	1	3	0	0	0	0	2	2	0	0	4	3	1	4	0	1	0	2	0	3	0	1	0	2	3	0	2	0	1	1	21	0	6	0	9	5	4	0	1	0	0	1	1	1	0	0	3	0	1	3	2	19	1	1	0	1	0	0	0	0	1	10	4	0	0	1	1	18	1	1	1	0	0	0	0	0	0	4	5	2	1	0	0	0	1	2	0	0	0	0	3	1	0	1	2	0	1	0	3	0	0	0	1	0	1	6	1	5	0	0	0	1	2	0	3	0	0	2	1	1	2	0	0	1	1	1	0	14	1	0	0	0	1	0	2	2	1	0	2	0	0	3	1	0	7	0	8	0	0	0	0	1	3	2	1	0	1	0	0	1	2	7	0	1	1	1	4	1	0	2	2	2	0	3	0	1	1	7	0	2	0	0	0	0	0	1	1	0	2	2	0
Old St. Patrick Oratory - Kansas City, Missouri - Community News	2	0	2	2	3	0	0	1	1	5	1	4	4	0	3	0	2	3	0	0	0	2	2	0	2	1	0	2	0	0	2	0	0	3	0	2	1	1	0	0	0	2	1	3	0	0	0	3	4	1	1	1	3	1	2	0	0	2	4	0	2	2	0	1	0	4	0	1	0	1	2	1	1	0	17	1	2	2	0	0	0	1	1	1	0	1	4	3	1	1	2	2	1	1	0	1	4	2	0	1	3	0	1	0	0	0	2	0	0	2	2	4	1	1	9	1	2	1	0	2	0	1	1	0	0	2	1	0	0	1	2	0	5	0	0	0	2	0	0	2	6	1	0	0	2	0	1	0	1	2	0	2	1	0	4	2	2	2	1	2	3	2	1	1	3	0	2	3	1	0	3	0	0	2	0	0	0	3	1	3	1	5	5	0	1	1	7	1	0	3	1	0	0	1	1	1	3	0	1	0	3	2	0	0	0	2	1	0	0	28	0	1	2	2	1	0	5	0	0	1	0	2	0	2	1	0	1	1	2	3	4	0	0	2	2	0	1	16	1	0	0	0	4	0	0	1	0	2	2	1	0	0	1	1	0	0	1	2	1	2	7	0	1	3	6	2	0	2	2	0	3	2	1	2	0	0	1	2	2	0	0	1	3	1	3	1	1	1	0	2	1	0	0	2	0	0	0	1	1	0	2	1	2	0	0	4	0	0	2	0	0	2	0	4	1	2	1	0	1	0	0	0	1	4	0	4	0	0	0	1	0	0	0	2	0	0	0	0	4	0	0	1	0	1	0	2	1	1	25	0	0	0	0	2	0	0	0	1	0	1	0	2	0	0	0	1	0	3	1	0	0	0	0	0	2	0	1	0	0	1	0	0	0	0	1	1	1	1	4	0	1	2	0	0	0	1	0	2	0	0	0	1	1	0	0	1	0	3	3	1	2	1	0	0	0	0	1	4	0	0	2	0	2	1	0	0	1	0	0	1	1	0	0	0	0	1	1	2	0	0	0	4	2	3	0	0	0	0	0	5	0	4	2	0	1	2	0	2	0	0	0	0	0	2	2	0	1	3	0	1	0	1	2	4	0	0	0	0	0	0	0	0	0	1	0	0	1	1	3	0	3	0	1	0	1	0	1	0	0	2
Come Into My World of Poems	2	2	6	3	0	1	0	2	3	1	0	1	0	2	4	1	0	2	0	0	2	3	0	0	0	2	26	1	0	1	2	1	0	6	6	0	1	25	2	1	0	0	1	1	1	2	0	1	0	0	0	8	3	4	4	1	2	1	0	1	2	1	2	1	0	0	1	1	0	1	0	0	2	1	0	3	0	0	1	1	0	0	0	1	0	0	4	0	0	0	0	1	2	1	0	0	3	0	1	0	0	0	1	0	0	0	3	3	1	1	0	1	0	1	2	1	1	1	3	2	0	0	2	3	0	1	0	0	9	0	5	2	1	0	0	1	0	0	0	1	0	2	0	0	0	0	3	0	1	2	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	2	0	2	1	0	0	0	0	3	1	0	1	1	0	0	1	0	5	1	1	0	3	0	1	0	1	4	0	1	0	0	0	0	0	1	1	0	1	1	1	2	1	3	1	0	0	4	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	2	1	0	46	0	2	0	1	4	0	1	1	3	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	2	0	0	3	0	0	3	1	0	1	0	0	0	0	0	0	1	0	2	3	0	1	0	0	0	0	0	0	0	2	0	1	0	0	0	4	1	0	0	0	0	0	0	7	0	0	1	0	0	0	1	4	0	1	0	0	2	0	0	2	0	0	0	0	0	2	2	0	0	0	1	0	1	0	0	0	4	1	2	3	1	0	0	0	0	0	1	0	1	0	4	0	0	0	0	0	0	1	0	0	0	0	1	3	0	3	0	1	0	0	1	0	2	0	0	0	2	0	0	0	1	0	0	0	3	0	1	0	92	0	0	0	0	0	0	1	0	45	0	0	1	2	0	1	0	0	1	0	0	0	6	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	7	5	1	0	0	3	0	0	0	1	7	3	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	3	0	0	0	0	1	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	4	1	1	0	1
Phillip and Julianna Iverson	0	2	2	4	3	6	3	0	1	8	3	0	2	1	2	0	3	0	0	3	1	3	10	1	1	2	8	4	0	1	1	7	1	0	0	2	1	1	3	9	4	2	3	1	1	0	5	1	2	0	5	5	1	1	2	0	3	2	3	2	4	1	1	5	2	2	1	3	7	2	12	4	1	4	2	2	0	1	3	1	0	0	3	3	0	1	1	1	4	0	0	2	0	7	2	4	11	1	4	1	3	3	0	3	1	0	0	4	9	4	1	3	7	5	2	1	1	1	3	1	4	1	1	2	1	2	2	1	2	0	0	0	1	4	14	0	2	3	6	0	4	1	1	0	11	4	1	0	1	1	2	3	3	1	0	1	0	1	0	1	0	2	1	2	0	5	0	3	1	9	0	0	6	0	2	1	0	1	2	1	2	5	1	3	2	0	6	3	0	1	1	0	3	1	1	0	4	0	4	0	5	1	3	1	1	2	0	3	1	0	3	2	0	0	0	1	0	7	1	1	1	3	1	0	3	1	1	2	0	2	6	0	4	1	0	0	2	0	0	3	0	14	0	0	0	0	1	1	2	2	1	2	0	6	3	1	0	2	2	1	0	0	2	1	0	2	7	2	1	2	1	0	3	1	0	3	0	0	0	0	0	0	2	3	0	2	0	0	1	1	1	0	3	10	2	3	1	0	1	0	2	0	0	0	0	2	1	0	1	2	0	3	16	0	2	0	0	0	0	1	2	1	3	1	0	1	3	2	2	0	24	0	0	4	1	0	0	0	2	0	0	0	5	0	2	1	0	1	4	0	0	4	0	2	1	2	3	1	0	0	0	0	1	1	1	0	0	0	0	0	0	2	1	0	0	0	6	0	2	0	6	0	2	0	2	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	4	0	0	3	0	0	2	0	1	0	2	0	1	0	0	2	0	0	1	1	2	0	1	0	0	1	27	5	4	3	2	1	3	2	0	1	1	0	0	0	0	0	0	1	0	1	0	3	2	1	0	1	2	2	1	0	3	0	0	0	0	0	2	0	0	0	1	0	2	1	0	0	3	1	1	1	0	1	0	1	3	0	2	1	0	1	1	1	0	1	0	3	0	3	2	0	0	0	0	1
MCKK Class of 94	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	1	1	3	0	1	0	0	0	0	0	0	1	0	1	0	0	2	1	0	0	0	0	1	0	1	1	0	0	0	0	1	0	2	0	2	2	0	1	0	0	0	1	0	0	0	2	1	1	0	0	0	0	2	1	0	0	0	0	0	0	1	0	2	0	2	1	0	0	1	0	0	0	0	2	1	0	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	2	0	1	0	0	4	0	0	0	1	2	0	0	0	1	3	0	0	0	0	0	0	0	0	7	1	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Web Inspirations	4	2	4	4	2	1	0	0	2	4	0	7	7	8	9	1	2	2	2	4	9	2	1	2	5	3	0	7	11	4	5	5	3	3	10	1	2	1	2	2	0	0	1	1	6	3	5	3	5	3	4	7	1	2	3	1	0	3	4	0	15	1	2	2	3	1	0	3	4	1	0	5	0	4	0	4	5	2	1	1	3	3	3	0	2	3	3	3	0	2	3	4	3	1	2	6	3	6	1	2	0	0	1	0	3	2	11	1	1	3	0	1	0	7	0	3	0	2	0	0	1	2	4	4	0	0	1	0	10	0	4	3	0	1	2	0	39	0	1	4	1	2	3	0	3	7	2	0	0	0	1	1	2	5	18	1	1	1	0	5	3	0	0	3	7	0	2	9	0	0	3	2	5	11	0	3	2	2	0	0	3	1	0	2	0	1	0	0	1	1	4	1	0	2	3	1	3	7	1	1	1	1	1	1	0	0	0	0	2	6	3	5	1	1	0	3	1	3	0	1	1	0	1	5	1	1	2	1	0	0	0	3	1	4	1	0	1	0	0	1	1	0	0	1	3	1	0	0	1	2	4	6	2	0	4	0	5	2	0	0	0	0	0	4	1	2	0	0	0	5	0	3	2	4	2	1	5	1	1	1	0	1	1	2	2	1	0	0	0	1	0	0	0	1	0	0	1	4	5	1	3	0	2	1	1	2	3	0	1	1	3	0	3	0	1	1	1	1	0	0	0	0	2	2	0	0	0	0	0	1	1	1	0	2	0	4	0	1	0	0	8	4	0	1	0	1	0	1	0	3	0	1	2	2	0	0	1	0	0	2	1	1	0	10	2	1	1	1	1	0	2	1	1	4	0	1	0	0	1	6	1	0	10	4	0	1	1	0	1	5	1	0	5	5	2	2	5	0	4	0	0	3	4	0	2	0	4	1	0	0	0	1	1	1	0	1	0	2	0	0	0	0	0	0	3	1	0	0	0	0	2	5	0	1	2	4	0	0	1	0	0	2	0	0	2	1	3	1	1	0	0	0	0	0	0	2	3	8	4	0	0	0	3	0	0	0	0	2	0	1	9	0	1	1	1	1	1	1	3	3	1	1	1	2	1	4	1	0	1	8	1	1	0	0	0	1	1	0	1	3
Jesse Lusko	1	1	12	8	1	1	11	4	5	0	3	1	4	3	6	4	4	6	13	9	18	8	2	1	4	9	1	1	11	6	7	2	1	14	2	0	6	7	0	11	3	6	3	9	3	3	1	1	7	2	4	20	2	3	13	3	0	2	4	3	13	3	7	4	4	2	0	6	0	3	0	0	4	5	0	9	4	6	3	3	7	8	4	1	3	2	9	6	2	5	3	22	4	4	4	11	4	4	4	5	2	0	4	0	1	3	13	2	2	5	5	1	2	3	122	8	0	4	5	2	2	1	1	4	1	4	3	7	6	1	6	1	2	5	0	5	8	32	8	1	1	4	9	3	2	3	2	4	1	5	6	0	2	9	3	2	0	1	2	1	7	1	9	0	0	2	2	9	2	1	1	6	2	20	1	2	3	0	7	0	2	0	0	0	1	4	5	3	2	1	6	5	0	0	2	5	1	3	3	2	16	3	4	6	5	2	1	9	3	0	0	12	2	0	0	10	1	0	1	1	1	2	0	2	1	1	3	1	0	3	0	4	0	4	1	2	4	0	4	0	8	5	1	5	13	2	0	3	1	5	9	0	4	0	1	4	9	3	2	1	8	0	3	1	5	2	3	3	2	2	2	0	2	2	10	4	6	16	3	2	4	3	2	2	3	3	1	2	1	2	6	0	1	0	1	0	3	0	8	8	0	4	5	3	0	5	4	5	3	9	5	1	5	1	4	1	0	0	1	3	1	12	3	3	1	1	1	0	1	3	2	1	2	2	0	3	1	3	0	1	6	1	0	1	2	2	1	0	25	0	1	1	0	6	3	4	2	2	3	3	2	0	0	4	1	3	5	0	1	1	2	1	2	9	1	0	1	2	3	2	4	3	4	1	2	0	4	2	1	0	7	0	1	4	1	18	5	2	4	0	0	0	6	0	0	1	6	2	0	3	2	4	0	1	1	0	2	1	3	2	1	0	1	0	9	0	3	3	1	0	1	9	2	0	2	5	1	0	0	1	1	7	1	1	1	1	4	3	0	0	5	34	17	0	0	6	0	1	3	0	1	0	2	2	0	5	2	5	4	0	2	0	1	5	1	0	0	2	1	6	1	1	2	1	1	1	0	1	2	1	0	2	2	0	2	1	0	1	0	3
Another Day - Another Destiny	2	14	7	3	25	7	4	0	1	11	2	6	1	2	1	0	3	4	2	3	2	20	6	18	7	2	1	1	2	2	2	4	5	0	7	1	2	0	6	3	19	3	13	2	0	4	1	2	0	3	4	1	0	6	4	1	0	1	1	3	5	1	2	7	2	9	0	1	1	1	3	4	7	2	0	7	5	6	7	3	13	0	30	18	6	11	2	1	0	3	0	4	6	4	6	8	5	1	2	0	0	0	4	11	4	4	1	5	0	1	1	2	1	20	1	0	3	4	3	7	0	1	2	6	3	4	5	0	8	0	3	4	2	4	0	2	0	0	1	3	2	1	1	6	0	2	1	0	1	4	4	7	1	4	4	4	3	7	6	2	1	4	3	0	1	1	2	3	2	0	3	0	1	4	1	2	2	0	1	5	0	2	1	2	2	1	0	0	3	3	2	4	6	10	1	0	3	2	4	3	0	0	4	0	3	0	0	0	6	0	5	0	2	2	2	0	4	6	15	3	0	14	3	0	1	4	0	4	5	7	0	1	0	0	1	0	6	0	0	2	0	5	0	0	0	3	0	0	6	3	4	3	0	0	1	13	0	1	5	3	0	1	1	0	1	12	0	1	2	2	1	4	1	1	0	0	2	0	0	1	1	1	0	0	0	0	0	2	8	8	0	0	0	4	5	0	2	2	2	2	0	3	0	4	4	0	0	2	0	3	0	5	0	0	1	1	0	4	1	3	2	1	1	1	1	0	1	2	1	6	1	1	10	4	0	1	0	2	0	0	0	0	1	3	1	2	0	4	0	1	0	2	0	0	0	0	3	2	1	1	7	2	0	0	0	1	1	1	2	0	1	14	0	0	0	3	5	5	1	1	4	1	1	2	0	1	1	2	0	1	0	0	4	0	2	2	1	0	9	0	2	1	0	5	0	0	1	0	4	0	0	1	2	0	13	2	9	2	0	1	2	3	0	3	1	0	1	0	1	1	0	0	0	4	0	0	0	4	1	0	2	0	0	4	1	0	2	0	5	0	0	0	0	0	0	0	0	1	25	2	11	0	1	0	13	0	1	0	0	3	0	1	5	2	1	0	1	0	0	0	1	0	0	0	2	0	0	10	2	0	0	1	0	0	3	0	4	0	0	1
The Other Andrew	5	4	1	1	0	1	3	3	2	13	7	4	4	6	4	4	5	2	7	0	1	8	4	1	2	4	4	4	2	2	1	10	7	1	4	8	7	2	4	4	12	2	9	1	2	10	2	3	2	2	2	4	6	2	3	6	4	7	0	0	3	2	5	4	2	3	1	4	2	0	0	1	3	5	4	5	6	2	4	6	6	0	8	9	4	0	7	7	4	3	0	5	6	1	1	2	1	2	0	1	1	2	2	2	3	3	1	2	4	4	1	1	0	6	0	3	7	3	3	5	0	2	6	1	11	2	7	0	3	2	0	6	4	4	0	1	0	0	1	1	2	1	3	4	0	1	1	1	2	5	1	2	0	2	5	2	2	6	2	3	2	1	0	1	4	0	1	1	0	2	3	1	5	1	2	3	6	1	3	0	1	0	0	5	0	2	1	4	4	3	1	3	4	6	1	0	2	0	2	0	0	1	0	1	4	2	0	0	0	0	1	1	1	0	3	0	0	0	3	0	1	3	2	0	2	2	0	1	10	1	2	2	7	0	1	5	0	2	2	0	5	3	1	3	0	1	0	0	3	6	0	0	1	1	4	0	1	1	2	4	6	4	3	1	0	0	0	8	1	0	2	1	4	1	1	1	1	5	3	2	1	3	2	0	0	1	2	0	4	2	2	2	1	5	3	2	2	0	0	0	2	0	2	1	1	0	2	0	1	1	0	1	4	2	0	1	0	4	1	0	1	1	1	0	0	1	3	6	0	0	0	2	0	1	1	1	4	0	3	12	1	0	0	1	1	3	0	5	0	0	2	0	0	2	0	1	1	2	3	0	4	0	0	4	1	1	4	0	2	2	0	1	0	2	0	5	0	1	0	1	0	4	1	0	0	2	1	0	0	0	0	2	2	3	1	4	2	4	1	2	2	2	1	1	1	0	1	1	1	0	2	0	0	2	1	1	0	1	3	0	0	1	0	3	1	1	2	0	0	4	0	0	0	1	1	0	1	2	0	3	3	0	0	2	0	5	2	0	0	1	0	0	1	3	0	5	3	0	1	2	5	0	0	3	3	6	0	0	1	0	2	0	3	3	0	2	0	2	0	2	2	1	2	1	2	0	3	2	0	0	0	2	0	4	5	0	0	4	2	0
